run#	day	points nbr	morning	evening forseen	evening actual
40	1	45	06:25	17:52	17:40                                                                                                                                                                                                                                       
40	2	46	06:20	17:52	18:04                                                                                                                                                                                                                                       
40	3	44	06:18	17:52	17:37                                                                                                                                                                                                                                       
40	4	46	06:12	17:49	17:42                                                                                                                                                                                                                                       
40	5	46	06:15	17:58	17:55                                                                                                                                                                                                                                       
40	6	45	06:17	17:53	17:52                                                                                                                                                                                                                                       
40	7	44	06:19	17:53	17:49                                                                                                                                                                                                                                       
41	1	44	06:15	17:50	17:35                                                                                                                                                                                                                                       
41	2	46	06:15	17:49	17:47                                                                                                                                                                                                                                       
41	3	46	06:11	17:52	17:41                                                                                                                                                                                                                                       
41	4	45	06:16	17:54	17:41                                                                                                                                                                                                                                       
41	5	45	06:15	17:50	17:44                                                                                                                                                                                                                                       
41	6	46	06:12	17:51	17:42                                                                                                                                                                                                                                       
41	7	44	06:17	17:52	17:47                                                                                                                                                                                                                                       
42	1	44	06:27	17:49	17:44                                                                                                                                                                                                                                       
42	2	43	06:18	17:51	17:41                                                                                                                                                                                                                                       
42	3	45	06:18	17:49	17:41                                                                                                                                                                                                                                       
42	4	43	06:23	17:53	17:45                                                                                                                                                                                                                                       
42	5	45	06:16	17:53	17:38                                                                                                                                                                                                                                       
42	6	42	06:11	17:58	17:50                                                                                                                                                                                                                                       
42	7	44	06:17	17:50	17:37                                                                                                                                                                                                                                       
43	1	45	06:14	17:50	17:35                                                                                                                                                                                                                                       
43	2	45	06:22	17:52	17:37                                                                                                                                                                                                                                       
43	3	45	06:20	17:49	17:35                                                                                                                                                                                                                                       
43	4	45	06:15	17:53	17:39                                                                                                                                                                                                                                       
43	5	46	06:17	17:51	17:47                                                                                                                                                                                                                                       
43	6	46	06:13	17:50	17:43                                                                                                                                                                                                                                       
43	7	46	06:16	17:49	17:46                                                                                                                                                                                                                                       
44	1	45	06:18	17:48	17:33                                                                                                                                                                                                                                       
44	2	46	06:20	17:51	17:50                                                                                                                                                                                                                                       
44	3	43	06:21	17:54	17:45                                                                                                                                                                                                                                       
44	4	44	06:20	17:54	17:40                                                                                                                                                                                                                                       
44	5	43	06:14	17:55	17:48                                                                                                                                                                                                                                       
44	6	39	06:21	17:52	17:49                                                                                                                                                                                                                                       
44	7	45	06:18	17:52	17:43                                                                                                                                                                                                                                       
45	1	46	06:18	17:51	17:48                                                                                                                                                                                                                                       
45	2	42	06:21	17:55	17:42                                                                                                                                                                                                                                       
45	3	45	06:22	17:53	17:46                                                                                                                                                                                                                                       
45	4	46	06:22	17:54	17:52                                                                                                                                                                                                                                       
45	5	44	06:11	17:48	17:41                                                                                                                                                                                                                                       
45	6	45	06:18	17:54	17:40                                                                                                                                                                                                                                       
45	7	44	06:15	17:51	17:43                                                                                                                                                                                                                                       
46	1	41	06:16	17:53	17:41                                                                                                                                                                                                                                       
46	2	43	06:12	17:52	17:44                                                                                                                                                                                                                                       
46	3	43	06:16	17:50	17:46                                                                                                                                                                                                                                       
46	4	39	06:20	17:53	17:51                                                                                                                                                                                                                                       
46	5	45	06:16	17:52	17:41                                                                                                                                                                                                                                       
46	6	45	06:15	17:52	17:40                                                                                                                                                                                                                                       
46	7	46	06:17	17:50	17:47                                                                                                                                                                                                                                       
47	1	46	06:15	17:53	17:45                                                                                                                                                                                                                                       
47	2	46	06:12	17:51	17:58                                                                                                                                                                                                                                       
47	3	45	06:17	17:50	17:43                                                                                                                                                                                                                                       
47	4	45	06:18	17:51	17:42                                                                                                                                                                                                                                       
47	5	42	06:10	17:56	17:49                                                                                                                                                                                                                                       
47	6	45	06:16	17:51	17:36                                                                                                                                                                                                                                       
47	7	44	06:12	17:50	17:42                                                                                                                                                                                                                                       
